pen,time period,Species,Study,Diet,"average 
feed intake, g/d","average feed intake, g","average 
feed intake, g/d",bodyweightgain,akp,alt,glucose,nefa,pip,tc,tg,trap,uric acid,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS,COHESIVENESS,GUMMINESS,RESILIENCE,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS
3,1-3 weeks,broiler chicken,broiler AST,2% P-1,65.68,1379.20314,65.68,43.05,,,19.73466,484.5906,1.437346,64.52301,20.23873,0.2512347,251.5948,,,,,,,,,,,,,,,,,,,,,,,,,
4,1-3 weeks,broiler chicken,broiler AST,2% P-1,69.38,1456.89705,69.38,37.08,,,18.61996,253.1772,1.389539,,17.48709,,31.19454,,,,,,,,,,,,,,,,,,,,,,,,,
5,1-3 weeks,broiler chicken,broiler AST,2% P-1,72.03,1512.72198,72.03,39.56,,1.813459,24.08391,332.0117,,,23.161,0.218969,160.8102,,,,,,,,,,,,,,,,,,,,,,,,,
6,1-3 weeks,broiler chicken,broiler AST,2% P-1,66.27,1391.61099,66.27,34.11,125.3688,,17.85965,,1.656286,67.87968,,0.3460765,236.0623,,,,,,,,,,,,,,,,,,,,,,,,,
1,1-3 weeks,broiler chicken,broiler AST,0.32% P-2,75.87,1593.36618,75.87,48.16,83.94701,1.766234,18.53298,556.7963,1.559288,80.62489,,0.1762739,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1-3 weeks,broiler chicken,broiler AST,0.32% P-2,66.47,1395.87651,66.47,45.41,41.60651,,17.66957,,1.906405,,27.87504,0.2942558,169.1121,,,,,,,,,,,,,,,,,,,,,,,,,
3,1-3 weeks,broiler chicken,broiler AST,0.32% P-2,65.76,1381.03434,65.76,35.11,144.3764,1.416765,13.99043,,1.245426,87.14112,,0.3125071,403.9736,,,,,,,,,,,,,,,,,,,,,,,,,
4,1-3 weeks,broiler chicken,broiler AST,0.32% P-2,65.53,1376.08128,65.53,50.20,92.71456,1.940968,17.75978,360.7756,1.199005,84.93901,33.39964,,122.5147,,,,,,,,,,,,,,,,,,,,,,,,,
5,1-3 weeks,broiler chicken,broiler AST,0.32% P-2,66.85,1403.9361,66.85,48.81,67.07224,1.4451,15.19533,505.3053,1.693008,84.7081,24.59015,0.4197337,221.6011,,,,,,,,,,,,,,,,,,,,,,,,,
6,1-3 weeks,broiler chicken,broiler AST,0.32% P-2,60.25,1265.25315,60.25,38.92,,,15.54649,427.4179,,80.41088,21.56122,,203.3906,,,,,,,,,,,,,,,,,,,,,,,,,
1,3-6 weeks,broiler chicken,broiler AST,control,104.55,2195.4933,163.27,48.05294,34.32769,3.220096,9.428383,1040.297,0.9712942,65.4929,18.29792,0.3800962,241.8965,,,,,,,,,,,,,,,,,,,,,,,,,
2,3-6 weeks,broiler chicken,broiler AST,control,96.82,2033.16015,149.53,43.86638,50.06234,,,869.7522,1.077493,54.29802,15.16579,0.3551902,277.7672,,,,,,,,,,,,,,,,,,,,,,,,,
3,3-6 weeks,broiler chicken,broiler AST,control,114.77,2410.2456,169.15,51.83524,42.5391,3.430622,10.3016,919.4005,0.9712942,57.97193,18.00536,0.5410957,96.93938,,,,,,,,,,,,,,,,,,,,,,,,,
4,3-6 weeks,broiler chicken,broiler AST,control,113.10,2375.0202,170.55,52.5824,,0.5598086,9.888184,389.1682,0.9297105,72.4944,18.03978,0.3987757,105.0471,,,,,,,,,,,,,,,,,,,,,,,,,
5,3-6 weeks,broiler chicken,broiler AST,control,107.37,2254.7595,176.07,45.18016,52.37325,2.129187,8.75885,622.7104,0.9904867,53.09346,17.31698,0.4597064,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3-6 weeks,broiler chicken,broiler AST,control,127.65,2680.5807,198.24,56.034525,52.63283,0.7559808,9.214617,717.5073,1.184971,57.08356,15.57882,0.5419852,164.5041,,,,,,,,,,,,,,,,,,,,,,,,,
